City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
137,Kidal,ML,18.4411,1.4078,99.03,20,70,12.68,broken clouds
138,Mahebourg,MU,-20.4081,57.7,71.89,83,75,10.36,broken clouds
139,Salta,AR,-24.7859,-65.4117,77.59,23,20,7.0,few clouds
140,Fenoarivo Atsinanana,MG,-17.3667,49.4167,69.22,83,3,5.68,clear sky
141,Xuddur,SO,4.1213,43.8894,83.84,45,100,14.92,overcast clouds
142,Santa Cruz,BO,-17.8,-63.1667,87.85,35,99,17.27,overcast clouds
143,Kilimatinde,TZ,-5.85,34.95,79.3,34,88,8.77,overcast clouds
144,Olinda,BR,-8.0089,-34.8553,82.13,61,20,10.36,few clouds
145,Santa Fe,AR,-31.6333,-60.7,70.75,60,34,4.0,scattered clouds
146,Laguna,US,38.421,-121.4238,87.08,40,1,5.01,clear sky
147,Maragogi,BR,-9.0122,-35.2225,82.47,65,29,9.22,scattered clouds
148,Leshukonskoye,RU,64.8989,45.7622,42.22,86,1,7.16,clear sky
149,Alto Longa,BR,-5.2511,-42.2103,105.58,17,78,4.7,broken clouds
150,Tromso,NO,69.6496,18.957,50.65,62,75,14.97,broken clouds
151,Saint Anthony,US,45.0205,-93.218,71.65,44,1,3.0,clear sky
152,Constantine,DZ,36.365,6.6147,83.61,42,75,9.22,broken clouds
153,Ponta Do Sol,PT,32.6667,-17.1,74.03,52,100,5.5,overcast clouds
154,Port Blair,IN,11.6667,92.75,79.77,80,100,10.74,light rain
155,San Luis,AR,-33.295,-66.3356,71.87,24,24,2.01,few clouds
156,Tabuk,PH,17.4189,121.4443,74.53,92,7,2.3,clear sky
157,Barkhan,PK,29.8977,69.5256,76.21,63,58,2.39,broken clouds
158,Chlorakas,CY,34.8042,32.4083,76.23,68,90,23.02,overcast clouds
159,Artyom,AZ,40.4723,50.333,69.94,80,10,20.67,clear sky
160,Kyshtovka,RU,56.555,76.6271,34.5,86,99,5.01,overcast clouds
161,Nuuk,GL,64.1835,-51.7216,36.21,41,1,6.91,clear sky
162,Fecamp,FR,49.7579,0.3746,62.46,88,6,6.69,clear sky
163,Korla,CN,41.7597,86.1469,69.4,28,1,5.3,clear sky
164,Bouar,CF,5.934,15.596,67.75,92,87,3.71,light rain
165,Dondo,MZ,-19.6094,34.7431,71.11,73,4,6.85,clear sky
166,Navahrudak,BY,53.6,25.8333,47.55,93,100,12.77,overcast clouds
167,Taoudenni,ML,22.6783,-3.9836,109.62,6,0,5.5,clear sky
168,Isla Mujeres,MX,21.2311,-86.731,84.25,77,61,5.35,broken clouds
169,Humberto De Campos,BR,-2.5983,-43.4611,91.35,46,89,11.43,overcast clouds
170,Escanaba,US,45.7453,-87.0646,57.96,46,1,11.5,clear sky
171,Chuy,UY,-33.6971,-53.4616,55.92,94,100,3.87,overcast clouds
