City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
144,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
145,Santa Fe,AR,70.75,scattered clouds,-31.6333,-60.7,Conquistador Hotel
147,Maragogi,BR,82.47,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
151,Saint Anthony,US,71.65,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
152,Constantine,DZ,83.61,broken clouds,36.365,6.6147,Grand Hotel Cirta
153,Ponta Do Sol,PT,74.03,overcast clouds,32.6667,-17.1,Hotel do Campo
154,Port Blair,IN,79.77,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
155,San Luis,AR,71.87,few clouds,-33.295,-66.3356,Huarpes Hotel
156,Tabuk,PH,74.53,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
157,Barkhan,PK,76.21,broken clouds,29.8977,69.5256,Sardar
158,Chlorakas,CY,76.23,overcast clouds,34.8042,32.4083,Elysium Hotel
159,Artyom,AZ,69.94,clear sky,40.4723,50.333,Merdan Respect
163,Korla,CN,69.4,clear sky,41.7597,86.1469,Gulisitan Hotel
165,Dondo,MZ,71.11,clear sky,-19.6094,34.7431,Arco Iris
168,Isla Mujeres,MX,84.25,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
174,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
176,Neuquen,AR,71.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
177,Somanda,TZ,82.51,overcast clouds,-3.3667,33.95,
178,Agbor,NG,77.43,light rain,6.2518,6.1934,MIRAMAS HOTEL
180,Muyuka,CM,78.4,overcast clouds,4.2898,9.4103,Muyuka Motor Park (El Paso)
182,Carlisle,US,71.33,overcast clouds,40.2015,-77.1889,Fairfield Inn & Suites by Marriott Carlisle
183,Harper,LR,80.71,overcast clouds,4.375,-7.7169,Screensaver
186,Bardiyah,LY,76.32,clear sky,31.7561,25.0865,بورتو بردية
189,Abidjan,CI,80.56,few clouds,5.3094,-4.0197,ibis Abidjan Plateau
192,San Miguel,SV,83.86,few clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
193,Agadir,MA,77.45,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
195,Pithiviers,FR,73.49,clear sky,48.1667,2.25,Relais de la Poste
197,Niteroi,BR,75.09,scattered clouds,-22.8833,-43.1036,Guesthouse
198,Kasempa,ZM,75.49,broken clouds,-13.4584,25.8338,Lolelunga Forest Reserve
199,Malakal,SS,79.47,few clouds,9.5334,31.6605,Nile Palace Hotel
203,Linhares,BR,77.13,few clouds,-19.3911,-40.0722,Hotel Conceição
206,Menongue,AO,81.43,scattered clouds,-14.6585,17.691,Ritz Lauca
207,Veraval,IN,80.1,scattered clouds,20.9,70.3667,Lords Inn Somnath
208,Santo Tomas,PH,80.85,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
210,Yarmouth,US,80.82,overcast clouds,41.7057,-70.2286,Blue Rock Resort
211,Kibaha,TZ,74.1,scattered clouds,-6.7667,38.9167,GOODJANETH GARDEN RESORT
212,Kavaratti,IN,82.11,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
214,Faya,SA,69.91,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
215,Porto Santo,PT,73.78,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
216,Bambous Virieux,MU,71.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
221,Masumbwe,TZ,80.56,overcast clouds,-3.6333,32.1833,Ngabanya Logde & Filling Station
225,Cap Malheureux,MU,72.09,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
227,Mahibadhoo,MV,83.46,overcast clouds,3.7833,72.9667,Omadhoo Inn
231,Kantunilkin,MX,84.04,scattered clouds,21.0917,-87.45,Posada Paraiso
232,Ugoofaaru,MV,83.07,overcast clouds,5.6667,73.0,Ungoofaaru Inn
236,Pitanga,BR,78.53,overcast clouds,-24.7572,-51.7614,Hotel Santa Carmem
238,Kattivakkam,IN,84.29,broken clouds,13.2167,80.3167,Euronova Freezer
241,Kanniyakumari,IN,80.96,broken clouds,8.0833,77.5667,Sparsa
244,Pemba,MZ,77.7,scattered clouds,-12.974,40.5178,Guesthouse Samotina
245,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
246,Milledgeville,US,73.89,clear sky,33.0801,-83.2321,Hampton Inn Milledgeville
254,Lodja,CD,74.19,light rain,-3.4833,23.4333,
256,Loharu,IN,81.63,moderate rain,28.45,75.8167,Sainik Guest House
258,Carnarvon,AU,68.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
261,Manavalakurichi,IN,80.69,broken clouds,8.1333,77.3,Udaya Boys Hostel
263,Kalabo,ZM,81.88,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
265,Angoche,MZ,74.5,clear sky,-16.2325,39.9086,Guest House HESADA
266,Damietta,EG,80.49,clear sky,31.4165,31.8133,SULIMAN INN
267,Lucapa,AO,73.33,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
268,Kintampo,GH,80.94,light rain,8.0563,-1.7306,Adomaa Memorial Hotel
272,Aksu,CN,70.41,few clouds,41.1231,80.2644,Pudong Holiday Hotel
275,Mungwi,ZM,76.55,broken clouds,-10.1732,31.3694,
276,Raga,SS,80.44,broken clouds,8.4596,25.678,
278,Dingle,PH,75.99,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
281,Pafos,CY,76.91,overcast clouds,34.7667,32.4167,Elysium Hotel
282,Balila,JO,69.15,clear sky,32.3881,35.9351,ارشيد ابوعزيز
